DATE_TIME,DC_POWER,MODULE_TEMPERATURE,data
17-05-2020 13:45,8383,34.05229864,1
17-05-2020 14:00,10700.28571,34.48483913,1
17-05-2020 14:15,4452.428571,34.30416453,1
17-05-2020 14:30,3702.714286,34.02411533,1
17-05-2020 14:45,9126.625,34.14708273,1
17-05-2020 15:00,9529.571429,35.10977173,1
17-05-2020 15:15,7191.375,35.25248613,1
17-05-2020 15:30,8455.428571,34.98165257,0
17-05-2020 15:45,4029.875,34.6127872,0
17-05-2020 16:00,6627.714286,34.737508,1
17-05-2020 16:15,4098.857143,31.03193886,0
17-05-2020 16:30,4411.25,29.56562293,1
17-05-2020 16:45,3425.125,29.36376953,0
17-05-2020 17:00,2111.625,28.75074867,0
17-05-2020 17:15,1564.875,28.2966472,0
17-05-2020 17:30,1383.125,27.60173907,0
17-05-2020 17:45,797.25,26.7289,0
17-05-2020 18:00,319.375,26.35418707,0
17-05-2020 18:15,108.125,26.1361226,0
